file,status,assumed_role
social_media_ghost_cloner.py,Unused,Clone launcher or job system
system_diagnostics.py,Unused,"Support, prototype, or future-optional module"
sarya_engine.py,Used Core,"Support, prototype, or future-optional module"
overwatch_panel.py,Unused,"Support, prototype, or future-optional module"
sarya_dashboard_flask.py,Unused,Alternate or legacy UI
sarya_dashboard_fastapi.py,Used Core,Alternate or legacy UI
plugin_loader.py,Used Core,"Support, prototype, or future-optional module"
clone_jobs.py,Used Core,Clone launcher or job system
clone_worker.py,Used Core,Clone launcher or job system
clone_enqueue.py,Used Core,Clone launcher or job system
emotional_reflex_engine.py,Used Core,Reflex-related or feedback system
spiritual_guidance_core.py,Used Core,Visual GUI prototype
affiliate_engine/affiliate_autoposter.py,Unused,"Support, prototype, or future-optional module"
aria-eternal-launch-main/aria_dispatcher_gui_telegram_voice_dashboard.py,Unused,Alternate or legacy UI
aria-eternal-launch-main/affiliate_engine/affiliate_autoposter.py,Unused,"Support, prototype, or future-optional module"
aria-eternal-launch-main/aria_core/ai_intelligence_core/real_time_risk_grid.py,Unused,"Support, prototype, or future-optional module"
aria-eternal-launch-main/aria_core/dispatcher/dispatcher_core.py,Unused,"Support, prototype, or future-optional module"
aria_core/ai_intelligence_core/real_time_risk_grid.py,Unused,"Support, prototype, or future-optional module"
aria_core/dispatcher/dispatcher_core.py,Unused,"Support, prototype, or future-optional module"
clones/autoscale_engine.py,Unused,Clone launcher or job system
core/sarya_memory_core.py,Unused,"Support, prototype, or future-optional module"
core/sarya_interface.py,Unused,"Support, prototype, or future-optional module"
core/sarya_identity.py,Unused,"Support, prototype, or future-optional module"
core/heartbeat.py,Unused,"Support, prototype, or future-optional module"
core/archive_gpt_snapshot.py,Unused,"Support, prototype, or future-optional module"
core/learning_feedback_loop.py,Unused,"Support, prototype, or future-optional module"
core/sqlite_memory_engine.py,Unused,"Support, prototype, or future-optional module"
core/memory_core.py,Unused,"Support, prototype, or future-optional module"
core/gpt_snapshot_scorer.py,Unused,"Support, prototype, or future-optional module"
core/gpt_snapshot_writer.py,Unused,"Support, prototype, or future-optional module"
core/snapshot_archiver.py,Unused,"Support, prototype, or future-optional module"
core/aria_soul_codex.py,Unused,"Support, prototype, or future-optional module"
dispatcher/dispatcher.py,Unused,"Support, prototype, or future-optional module"
dormant/sentiment_fusion.py,Unused,"Support, prototype, or future-optional module"
dormant/autoscale_engine.py,Unused,"Support, prototype, or future-optional module"
dormant/test_affiliate_autoposter.py,Unused,Test or diagnostic module
dormant/test_real_time_alerts.py,Unused,Test or diagnostic module
dormant/test_sentiment_analysis.py,Unused,Test or diagnostic module
dormant/test_sentiment_fusion.py,Unused,Test or diagnostic module
dormant/test_autoscale_engine.py,Unused,Test or diagnostic module
dormant/test_system_diagnostics.py,Unused,Test or diagnostic module
dormant/test_resume_booster.py,Unused,Test or diagnostic module
dormant/test_microservice_splitter.py,Unused,Test or diagnostic module
dormant_clones/clone_auto_scaling.py,Unused,Clone launcher or job system
dormant_clones/clone_evolution_engine.py,Unused,Clone launcher or job system
dormant_clones/clone_factory.py,Unused,Clone launcher or job system
dormant_clones/clone_farm.py,Unused,Clone launcher or job system
dormant_clones/clone_intelligence_core.py,Unused,Clone launcher or job system
dormant_clones/auto_healer.py,Unused,Clone launcher or job system
dormant_clones/strategic_dashboard.py,Unused,Alternate or legacy UI
dormant_clones/clone_journal.py,Unused,Clone launcher or job system
dormant_clones/orchestrator.py,Unused,Clone launcher or job system
dormant_clones/aria_kernel.py,Unused,Clone launcher or job system
dormant_clones/license_generator.py,Unused,Clone launcher or job system
dormant_clones/clone_command_engine.py,Unused,Clone launcher or job system
dormant_clones/clone_hub.py,Unused,Clone launcher or job system
dormant_clones/clone_income_router.py,Unused,Clone launcher or job system
dormant_clones/clone_intelligence_sync.py,Unused,Clone launcher or job system
dormant_clones/clone_memory_store.py,Unused,Clone launcher or job system
dormant_clones/clone_mission_router.py,Unused,Clone launcher or job system
dormant_clones/clone_orchestrator.py,Unused,Clone launcher or job system
dormant_clones/replication_engine.py,Unused,Clone launcher or job system
dormant_clones/clone_task_queue.py,Unused,Clone launcher or job system
dormant_clones/clone_worker.py,Unused,Clone launcher or job system
dormant_clones/__init__.py,Unused,Clone launcher or job system
dormant_clones/clone_commands_telegram.py,Unused,Clone launcher or job system
dormant_clones/clone_expansion_framework.py,Unused,Clone launcher or job system
dormant_clones/clone_manager.py,Unused,Clone launcher or job system
dormant_clones/clone_warfare_core.py,Unused,Clone launcher or job system
dormant_clones/freelance_clone_1.py,Unused,Clone launcher or job system
dormant_clones/shadow_unit_06.py,Unused,Clone launcher or job system
dormant_clones/aria_boot_kernel.py,Unused,Clone launcher or job system
dormant_clones/aria_dispatcher.py,Unused,Clone launcher or job system
dormant_clones/meta_command.py,Unused,Clone launcher or job system
dormant_clones/module_validator.py,Unused,Clone launcher or job system
dormant_clones/behavioral_targeting.py,Unused,Clone launcher or job system
dormant_clones/command_center.py,Unused,Clone launcher or job system
dormant_clones/data_integration.py,Unused,Clone launcher or job system
dormant_clones/gpt_brain_viewer.py,Unused,Clone launcher or job system
dormant_clones/hi_aria_trigger.py,Unused,Clone launcher or job system
dormant_clones/plugin_store.py,Unused,Clone launcher or job system
dormant_clones/quantum_deployment_engine.py,Unused,Clone launcher or job system
dormant_clones/reverse_engineer.py,Unused,Clone launcher or job system
dormant_clones/upsell_engine.py,Unused,Clone launcher or job system
dormant_clones/email_writer.py,Unused,Clone launcher or job system
dormant_clones/gig_autopilot.py,Unused,Clone launcher or job system
dormant_clones/global_replication.py,Unused,Clone launcher or job system
dormant_clones/grid_telegram_control.py,Unused,Clone launcher or job system
dormant_clones/income_core.py,Unused,Clone launcher or job system
dormant_clones/analytics_tracker.py,Unused,Clone launcher or job system
dormant_clones/aria_interlink_engine.py,Unused,Clone launcher or job system
dormant_clones/behavioral_tuner.py,Unused,Clone launcher or job system
dormant_clones/council_protocol.py,Unused,Clone launcher or job system
dormant_clones/grid_node_engine.py,Unused,Clone launcher or job system
dormant_clones/live_grid_controller.py,Unused,Clone launcher or job system
dormant_clones/multi_agent_synergy.py,Unused,Clone launcher or job system
dormant_clones/reinforcement_learning.py,Unused,Clone launcher or job system
